Key	Content	Handle
LeaderLib_UI_ModSettingsButton_DisplayName	Mod Settings	h5945db23gdaafg400ega4d6gc2ffa7a53f92
LeaderLib_UI_Talent_DeathfogResistant_DisplayName	Deathfog Resistant	hcf141983g4e08g405dg83bcg3f66636aa9ec
LeaderLib_UI_Talent_Sourcerer_DisplayName	Sourcerer	h5279a104g5c7ag4d0fgb191gc963d39c286c
LeaderLib_UI_Talent_Rager_DisplayName	Rager	he1b6d26dgfa57g4878g8948g68f08c6c531f
LeaderLib_UI_SkipTutorial_DisplayName	Select Starting Level	h941109e1g894dg49efgbd26g139bcb434deb
LeaderLib_UI_SkipTutorial_Controller_DisplayName	Skip Tutorial (LB + Select)	h07ede36bgda99g42ecg813bgbc1496640e7d
LeaderLib_UI_SkipTutorial_Description	<font color='#77DDFF' size='22'>Skip Tutorial</font><br>Skip the tutorial and go straight to a specific level.	ha2cbea79g07e1g474dg912age8c7e79abd34
LeaderLib_UI_SkipTutorial_TutorialDisplayName	[Key:TUT_Tutorial_A:The Hold] (Tutorial)	h88efed9cg865cg4a06gbaacga6923683df7e
LeaderLib_UI_SkipTutorial_Level	Go to [1] ([2])	h0561e21agfef7g4d21g80b0g43cf53ae5d10
LeaderLib_UI_PresetDropdown_Tooltip	<font color='#BB77FF' size='22'>Preset Selection</font><br>Toggle the the Preset Selection dropdown.	h9ade7360g8608g42f6g8e7cgff542d517949
LeaderLib_UI_ContextMenu_HideStatus	Hide Status	h901ab1b9g943dg465cg8583g3ad8e86354b5
LeaderLib_UI_ContextMenu_HideStatus_Examine	Hide Status from Portrait UI	hc9377dd3g70d6g4d84g8c8fg812246a61029
LeaderLib_UI_ContextMenu_ShowStatus	Show Status	ha52299cfg95f3g4a46gaa56g3cd74d716741
LeaderLib_UI_ContextMenu_ShowStatus_Examine	Show Status in Portrait UI	h456c5c8bg7103g4b19g9185ge4cd6ddbab30
LeaderLib_UI_Journal_Changelogs_Title	Mod Changes	hf19a6a6eg9931g4ceeg957fg890bf374ae88
LeaderLib_UI_Journal_InfoButton_Title	INFO	h08a677bcgad26g4a7cga80dgf2ac57e01325
LeaderLib_UI_Changelog	<b><font size='24'>1.7.21.6</font></b><br><br>• Fixed an issue where object timer data wasn't being cleared (important bug to fix to prevent repeated timer results).<br>• (v56) Fixed an issue prevents world effects from working.<br>• Added a workaround for EsvZoneAction surfaces not dealing damage.<br><br>See the full changelog in the 'Change Notes' tab on the Steam Workshop page.	h990e781bg7c91g4c4egacf8g6c987675465a
